Data-Itajuba,Chuva-Itajuba,Nivel-Itajuba,Data-MairaDaFe,Chuva-MariaDaFe,Nivel-MariaDaFe,Data-WenceslauBraz,Chuva-WenceslauBraz,Nivel-WenceslauBraz,Data-DelfimMoreira,Chuva-DelfimMoreira,Vazao-DelfimMoreira,Data-DelfimMoreira2,Chuva-DelfimMoreira2,Vazao-DelfimMoreira2
21/02/2020 23:45,0,116,21/02/2020 23:30,,89350,21/02/2020 23:00,0,69,,,,21/02/2020 23:45,0,278
21/02/2020 23:30,0,116,21/02/2020 23:00,0,89349,21/02/2020 22:00,0,69,,,,21/02/2020 23:30,0,279
21/02/2020 23:15,0,116,21/02/2020 22:30,,89349,21/02/2020 21:00,2,71,,,,21/02/2020 23:15,0,280
21/02/2020 23:00,0,116,21/02/2020 22:00,0,89349,21/02/2020 20:00,0,71,,,,21/02/2020 23:00,0,280
21/02/2020 22:45,0,116,21/02/2020 21:30,,89349,21/02/2020 19:00,0,68,,,,21/02/2020 22:45,0,281
21/02/2020 22:30,0,115,21/02/2020 21:00,0,89348,21/02/2020 18:00,0,69,,,,21/02/2020 22:30,0,282
21/02/2020 22:15,0,115,21/02/2020 20:30,,89347,21/02/2020 17:00,0,69,,,,21/02/2020 22:15,0,282
21/02/2020 22:00,0.2,115,21/02/2020 20:00,0,89348,21/02/2020 16:00,1,68,,,,21/02/2020 22:00,0,283
21/02/2020 21:45,0,114,21/02/2020 19:30,,89348,21/02/2020 15:00,1,67,,,,21/02/2020 21:45,0,283
21/02/2020 21:30,0.2,113,21/02/2020 19:00,0,89348,21/02/2020 14:00,9,59,,,,21/02/2020 21:30,0.25,284
21/02/2020 21:15,0.8,113,21/02/2020 18:30,,89348,21/02/2020 13:00,0,54,,,,21/02/2020 21:15,1,283
21/02/2020 21:00,4.8,113,21/02/2020 18:00,,89348,21/02/2020 12:00,0,55,,,,21/02/2020 21:00,0.75,283
21/02/2020 20:45,3.2,109,21/02/2020 17:30,,89347,21/02/2020 11:00,0,54,,,,21/02/2020 20:45,0,282
21/02/2020 20:30,0,109,21/02/2020 17:00,0,89347,21/02/2020 10:00,0,54,,,,21/02/2020 20:30,0,282
21/02/2020 20:15,0,108,21/02/2020 16:30,,89347,21/02/2020 09:00,0,54,,,,21/02/2020 20:15,0,281
21/02/2020 20:00,0,107,21/02/2020 16:00,0,89347,21/02/2020 08:00,0,54,,,,21/02/2020 20:00,0,280
21/02/2020 19:45,0,106,21/02/2020 15:30,,89347,21/02/2020 07:00,0,55,,,,21/02/2020 19:45,0,278
21/02/2020 19:30,0,106,21/02/2020 15:00,0,89347,21/02/2020 06:00,0,54,,,,21/02/2020 19:30,0,277
21/02/2020 19:15,0,105,21/02/2020 14:30,,89347,21/02/2020 05:00,0,53,,,,21/02/2020 19:15,0,276
21/02/2020 19:00,0,105,21/02/2020 14:00,0,89348,21/02/2020 04:00,0,54,,,,21/02/2020 19:00,0,275
21/02/2020 18:45,0,104,21/02/2020 13:30,,89348,21/02/2020 03:00,0,54,,,,21/02/2020 18:45,0,275
21/02/2020 18:30,0,104,21/02/2020 13:00,0,89348,21/02/2020 02:00,0,54,,,,21/02/2020 18:30,0,274
21/02/2020 18:15,0,104,21/02/2020 12:30,,89345,21/02/2020 01:00,0,54,,,,21/02/2020 18:15,0,274
21/02/2020 18:00,0,104,21/02/2020 12:00,0,89348,21/02/2020 00:00,0,54,,,,21/02/2020 18:00,0,273
21/02/2020 17:45,0,103,21/02/2020 11:30,,89349,20/02/2020 23:00,0,54,,,,21/02/2020 17:45,0,273
21/02/2020 17:30,0,103,21/02/2020 11:00,,89353,20/02/2020 22:00,0,54,,,,21/02/2020 17:30,0,274
21/02/2020 17:15,0,103,21/02/2020 10:30,,89353,20/02/2020 21:00,0,54,,,,21/02/2020 17:15,0,274
21/02/2020 17:00,0,103,21/02/2020 10:10,,89354,20/02/2020 20:00,0,54,,,,21/02/2020 17:00,0,275
21/02/2020 16:45,0,103,21/02/2020 09:30,,89354,20/02/2020 19:00,0,55,,,,21/02/2020 16:45,0,274
21/02/2020 16:30,0,103,21/02/2020 09:00,0,89355,20/02/2020 18:00,0,55,,,,21/02/2020 16:30,0,272
21/02/2020 16:15,0.2,103,21/02/2020 08:30,,89355,20/02/2020 17:00,0,56,,,,21/02/2020 16:15,0,270
21/02/2020 16:00,0.2,103,21/02/2020 08:00,0,89355,20/02/2020 16:00,1,56,,,,21/02/2020 16:00,0.25,270
21/02/2020 15:45,0.6,103,21/02/2020 07:30,,89354,20/02/2020 15:00,0,57,,,,21/02/2020 15:45,0.25,268
21/02/2020 15:30,0.4,103,21/02/2020 07:00,0,89354,20/02/2020 14:00,0,59,,,,21/02/2020 15:30,0.75,266
21/02/2020 15:15,0.2,102,21/02/2020 06:30,,89354,20/02/2020 13:00,0,56,,,,21/02/2020 15:15,0.25,265
21/02/2020 15:00,0,101,21/02/2020 06:00,0,89354,20/02/2020 12:00,0,56,,,,21/02/2020 15:00,0,265
21/02/2020 14:45,0,100,21/02/2020 05:30,,89355,20/02/2020 11:00,0,57,,,,21/02/2020 14:45,0.25,265
21/02/2020 14:30,0,100,21/02/2020 05:00,0,89355,20/02/2020 10:00,0,57,,,,21/02/2020 14:30,0,265
21/02/2020 14:15,0,100,21/02/2020 04:30,,89356,20/02/2020 09:00,0,58,,,,21/02/2020 14:15,0.5,265
21/02/2020 14:00,0.2,100,21/02/2020 04:00,0,89357,20/02/2020 08:00,0,59,,,,21/02/2020 14:00,0.5,78
21/02/2020 13:45,1.2,100,21/02/2020 03:30,,89358,20/02/2020 07:00,0,59,,,,21/02/2020 13:45,0.25,78
21/02/2020 13:30,5,100,21/02/2020 03:00,0,89359,20/02/2020 06:00,0,61,,,,21/02/2020 13:30,0.25,78
21/02/2020 13:15,0,99,21/02/2020 02:30,,89360,20/02/2020 05:00,0,61,,,,21/02/2020 13:15,0.25,265
21/02/2020 13:00,0,99,21/02/2020 02:00,0,89363,20/02/2020 04:00,0,62,,,,21/02/2020 13:00,0,265
21/02/2020 12:45,0,100,21/02/2020 01:30,,89366,20/02/2020 03:00,0,62,,,,21/02/2020 12:45,0,265
21/02/2020 12:30,0,100,21/02/2020 01:00,0,89368,20/02/2020 02:00,0,61,,,,21/02/2020 12:30,0,265
21/02/2020 12:15,0,100,21/02/2020 00:30,,89367,20/02/2020 01:00,0,57,,,,21/02/2020 12:15,0,265
21/02/2020 12:00,0,100,21/02/2020 00:00,0,89365,20/02/2020 00:00,0,56,,,,21/02/2020 12:00,0,265
21/02/2020 11:45,0,100,20/02/2020 23:30,,89367,19/02/2020 23:00,0,56,,,,21/02/2020 11:45,0,265
21/02/2020 11:30,0,100,20/02/2020 23:00,0,89370,19/02/2020 22:00,0,54,,,,21/02/2020 11:30,0,265
21/02/2020 11:15,0,100,20/02/2020 22:30,,89372,19/02/2020 21:00,4,54,,,,21/02/2020 11:15,0,265
21/02/2020 11:00,0,100,20/02/2020 22:00,0,89373,19/02/2020 20:00,1,52,,,,21/02/2020 11:00,0,265
21/02/2020 10:45,0,100,20/02/2020 21:30,,89373,19/02/2020 19:00,0,55,,,,21/02/2020 10:45,0,266
21/02/2020 10:30,0,100,20/02/2020 21:00,0,89372,19/02/2020 18:00,0,55,,,,21/02/2020 10:30,0,266
21/02/2020 10:15,0,100,20/02/2020 20:30,,89371,19/02/2020 17:00,0,55,,,,21/02/2020 10:15,0,266
21/02/2020 10:00,0,100,20/02/2020 20:00,0,89370,19/02/2020 16:00,0,56,,,,21/02/2020 10:00,0,266
21/02/2020 09:45,0,100,20/02/2020 19:30,,89366,19/02/2020 15:00,0,56,,,,21/02/2020 09:45,0,266
21/02/2020 09:30,0,99,20/02/2020 19:00,0,89356,19/02/2020 14:00,0,56,,,,21/02/2020 09:30,0,266
21/02/2020 09:15,0,99,20/02/2020 18:30,,89350,19/02/2020 13:00,0,57,,,,21/02/2020 09:15,0,266
21/02/2020 09:00,0,99,20/02/2020 18:00,0,89349,19/02/2020 12:00,0,57,,,,21/02/2020 09:00,0,266
21/02/2020 08:45,0,98,20/02/2020 17:30,,89347,19/02/2020 11:00,0,56,,,,21/02/2020 08:45,0,266
21/02/2020 08:30,0,98,20/02/2020 17:00,0,89347,19/02/2020 10:00,0,57,,,,21/02/2020 08:30,0,267
21/02/2020 08:15,0,98,20/02/2020 16:30,,89350,19/02/2020 09:00,0,56,,,,21/02/2020 08:15,0,267
