Data,Chuva -Maria,Nível-Maria
21/02/2020 23:30,,89350
21/02/2020 23:00,0,89349
21/02/2020 22:30,,89349
21/02/2020 22:00,0,89349
21/02/2020 21:30,,89349
21/02/2020 21:00,0,89348
21/02/2020 20:30,,89347
21/02/2020 20:00,0,89348
21/02/2020 19:30,,89348
21/02/2020 19:00,0,89348
21/02/2020 18:30,,89348
21/02/2020 18:00,,89348
21/02/2020 17:30,,89347
21/02/2020 17:00,0,89347
21/02/2020 16:30,,89347
21/02/2020 16:00,0,89347
21/02/2020 15:30,,89347
21/02/2020 15:00,0,89347
21/02/2020 14:30,,89347
21/02/2020 14:00,0,89348
21/02/2020 13:30,,89348
21/02/2020 13:00,0,89348
21/02/2020 12:30,,89345
21/02/2020 12:00,0,89348
21/02/2020 11:30,,89349
21/02/2020 11:00,,89353
21/02/2020 10:30,,89353
21/02/2020 10:10,,89354
21/02/2020 09:30,,89354
21/02/2020 09:00,0,89355
21/02/2020 08:30,,89355
21/02/2020 08:00,0,89355
21/02/2020 07:30,,89354
21/02/2020 07:00,0,89354
21/02/2020 06:30,,89354
21/02/2020 06:00,0,89354
21/02/2020 05:30,,89355
21/02/2020 05:00,0,89355
21/02/2020 04:30,,89356
21/02/2020 04:00,0,89357
21/02/2020 03:30,,89358
21/02/2020 03:00,0,89359
21/02/2020 02:30,,89360
21/02/2020 02:00,0,89363
21/02/2020 01:30,,89366
21/02/2020 01:00,0,89368
21/02/2020 00:30,,89367
21/02/2020 00:00,0,89365
20/02/2020 23:30,,89367
20/02/2020 23:00,0,89370
20/02/2020 22:30,,89372
20/02/2020 22:00,0,89373
20/02/2020 21:30,,89373
20/02/2020 21:00,0,89372
20/02/2020 20:30,,89371
20/02/2020 20:00,0,89370
20/02/2020 19:30,,89366
20/02/2020 19:00,0,89356
20/02/2020 18:30,,89350
20/02/2020 18:00,0,89349
20/02/2020 17:30,,89347
20/02/2020 17:00,0,89347
20/02/2020 16:30,,89350
20/02/2020 16:00,0,89350
20/02/2020 15:30,,89348
20/02/2020 15:00,0,89349
20/02/2020 14:30,,89351
20/02/2020 14:00,0,89347
20/02/2020 13:30,,89350
20/02/2020 13:00,0,89354
20/02/2020 12:30,,89359
20/02/2020 12:00,0,89365
20/02/2020 11:30,,89376
20/02/2020 11:00,0,89379
20/02/2020 10:30,,89376
20/02/2020 10:00,0,89370
20/02/2020 09:30,,89359
20/02/2020 09:00,0,89345
20/02/2020 08:30,,89344
20/02/2020 08:00,0,89345
20/02/2020 07:30,,89345
20/02/2020 07:00,0,89346
20/02/2020 06:30,,89345
20/02/2020 06:00,0,89343
20/02/2020 05:30,,89342
20/02/2020 05:00,0,89341
20/02/2020 04:30,,89341
20/02/2020 04:00,0,89341
20/02/2020 03:30,,89341
20/02/2020 03:00,0,89342
20/02/2020 02:30,,89342
20/02/2020 02:00,0,89343
20/02/2020 01:30,,89343
20/02/2020 01:00,0,89344
20/02/2020 00:30,,89346
20/02/2020 00:00,0,89348
19/02/2020 23:30,,89350
19/02/2020 23:00,0,89354
19/02/2020 22:30,,89358
19/02/2020 22:00,0,89364
19/02/2020 21:30,,89364
19/02/2020 21:00,0,89347
19/02/2020 20:30,,89339
