Data,Chuva-Wenceslau,Nível-Wenceslau
21/02/2020 23:00,0,69
21/02/2020 22:00,0,69
21/02/2020 21:00,2,71
21/02/2020 20:00,0,71
21/02/2020 19:00,0,68
21/02/2020 18:00,0,69
21/02/2020 17:00,0,69
21/02/2020 16:00,1,68
21/02/2020 15:00,1,67
21/02/2020 14:00,9,59
21/02/2020 13:00,0,54
21/02/2020 12:00,0,55
21/02/2020 11:00,0,54
21/02/2020 10:00,0,54
21/02/2020 09:00,0,54
21/02/2020 08:00,0,54
21/02/2020 07:00,0,55
21/02/2020 06:00,0,54
21/02/2020 05:00,0,53
21/02/2020 04:00,0,54
21/02/2020 03:00,0,54
21/02/2020 02:00,0,54
21/02/2020 01:00,0,54
21/02/2020 00:00,0,54
20/02/2020 23:00,0,54
20/02/2020 22:00,0,54
20/02/2020 21:00,0,54
20/02/2020 20:00,0,54
20/02/2020 19:00,0,55
20/02/2020 18:00,0,55
20/02/2020 17:00,0,56
20/02/2020 16:00,1,56
20/02/2020 15:00,0,57
20/02/2020 14:00,0,59
20/02/2020 13:00,0,56
20/02/2020 12:00,0,56
20/02/2020 11:00,0,57
20/02/2020 10:00,0,57
20/02/2020 09:00,0,58
20/02/2020 08:00,0,59
20/02/2020 07:00,0,59
20/02/2020 06:00,0,61
20/02/2020 05:00,0,61
20/02/2020 04:00,0,62
20/02/2020 03:00,0,62
20/02/2020 02:00,0,61
20/02/2020 01:00,0,57
20/02/2020 00:00,0,56
19/02/2020 23:00,0,56
19/02/2020 22:00,0,54
19/02/2020 21:00,4,54
19/02/2020 20:00,1,52
19/02/2020 19:00,0,55
19/02/2020 18:00,0,55
19/02/2020 17:00,0,55
19/02/2020 16:00,0,56
19/02/2020 15:00,0,56
19/02/2020 14:00,0,56
19/02/2020 13:00,0,57
19/02/2020 12:00,0,57
19/02/2020 11:00,0,56
19/02/2020 10:00,0,57
19/02/2020 09:00,0,56
19/02/2020 08:00,0,57
19/02/2020 07:00,0,57
19/02/2020 06:00,0,57
19/02/2020 05:00,0,57
19/02/2020 04:00,0,58
19/02/2020 03:00,0,58
19/02/2020 02:00,0,59
19/02/2020 01:00,0,58
19/02/2020 00:00,0,57
18/02/2020 23:00,0,57
18/02/2020 22:00,0,57
18/02/2020 21:00,0,58
18/02/2020 20:00,1,57
18/02/2020 19:00,0,58
18/02/2020 18:00,0,59
18/02/2020 17:00,0,61
