Data,Chuva -Maria,Nível-Maria
17/12/2022 23:00,0,89343
17/12/2022 22:00,0,89344
17/12/2022 21:00,0,89345
17/12/2022 20:00,0,89346
17/12/2022 19:00,0,89347
17/12/2022 18:00,0,89352
17/12/2022 17:00,0,89358
17/12/2022 16:00,0,89360
17/12/2022 15:00,0,89361
17/12/2022 14:00,0,89357
17/12/2022 13:00,0,89358
17/12/2022 12:00,0,89360
17/12/2022 11:00,0,89360
17/12/2022 10:00,0,89362
17/12/2022 09:00,0,89362
17/12/2022 08:00,0,89360
17/12/2022 07:00,0,89355
17/12/2022 06:00,0,89349
17/12/2022 04:00,0,89343
17/12/2022 03:00,0,89344
17/12/2022 02:00,0,89345
17/12/2022 01:00,0,89346
17/12/2022 00:00,,89348
16/12/2022 23:00,0,89349
16/12/2022 22:00,0,89339
16/12/2022 21:00,0,89338
16/12/2022 20:00,0,89338
16/12/2022 19:00,0,89338
16/12/2022 18:00,0,89339
16/12/2022 17:00,0,89340
16/12/2022 16:00,0,89341
16/12/2022 15:00,0,89342
16/12/2022 14:00,0,89343
16/12/2022 13:00,0,89344
16/12/2022 12:00,0,89344
16/12/2022 11:00,0,89345
16/12/2022 10:00,0,89345
16/12/2022 09:00,0,89346
16/12/2022 08:00,0,89349
16/12/2022 07:00,0,89353
16/12/2022 06:00,0,89359
16/12/2022 05:00,0,89361
16/12/2022 04:00,0,89342
16/12/2022 03:00,0,89340
16/12/2022 02:00,0,89342
16/12/2022 01:00,0,89344
16/12/2022 00:00,0,89338
15/12/2022 23:00,0,89337
15/12/2022 22:00,0,89337
15/12/2022 21:00,0,89337
15/12/2022 20:00,0,89337
15/12/2022 19:00,0,89331
15/12/2022 18:00,0,89332
15/12/2022 17:00,0,89332
15/12/2022 16:00,0,89332
15/12/2022 15:00,0,89333
15/12/2022 14:00,0,89333
15/12/2022 13:00,0,89333
15/12/2022 12:00,0,89333
15/12/2022 11:00,0,89329
15/12/2022 10:00,0,89333
15/12/2022 09:00,0,89334
15/12/2022 08:00,0,89334
15/12/2022 07:00,0,89335
15/12/2022 06:00,0,89335
15/12/2022 05:00,0,89336
15/12/2022 04:00,0,89337
15/12/2022 03:00,0,89337
15/12/2022 02:00,0,89338
15/12/2022 01:00,0,89339
15/12/2022 00:00,,89340
14/12/2022 23:00,0,89341
14/12/2022 22:00,0,89342
14/12/2022 21:00,0,89342
14/12/2022 20:00,0,89343
14/12/2022 19:00,0,89344
14/12/2022 18:00,0,89333
14/12/2022 17:00,0,89335
14/12/2022 16:00,0,89337
14/12/2022 15:00,0,89340
14/12/2022 14:00,0,89342
14/12/2022 13:00,0,89344
14/12/2022 12:00,0,89345
14/12/2022 11:00,0,89339
14/12/2022 10:00,0,89340
14/12/2022 09:00,0,89341
14/12/2022 08:00,0,89343
14/12/2022 07:00,0,89345
14/12/2022 06:00,0,89345
14/12/2022 05:00,0,89340
14/12/2022 04:00,0,89345
14/12/2022 03:00,0,89349
14/12/2022 02:00,0,89353
14/12/2022 01:00,0,89355
14/12/2022 00:00,,89353
13/12/2022 23:00,0,89351
13/12/2022 22:00,0,89351
13/12/2022 21:00,0,89354
13/12/2022 20:00,0,89356
13/12/2022 19:00,0,89358
13/12/2022 18:00,0,89354
13/12/2022 17:00,0,89350
13/12/2022 16:00,0,89347
13/12/2022 15:00,0,89342
13/12/2022 14:00,0,89333
13/12/2022 13:00,0,89331
13/12/2022 12:00,0,89331
13/12/2022 11:00,0,89331
13/12/2022 10:00,0,89331
13/12/2022 09:00,0,89331
13/12/2022 08:00,0,89331
13/12/2022 07:00,0,89331
13/12/2022 06:00,0,89331
13/12/2022 05:00,0,89331
13/12/2022 04:00,0,89332
13/12/2022 03:00,0,89332
13/12/2022 02:00,0,89333
13/12/2022 01:00,0,89333
13/12/2022 00:00,,89334
12/12/2022 23:00,0,89335
12/12/2022 22:00,0,89336
12/12/2022 21:00,0,89337
12/12/2022 20:00,0,89338
12/12/2022 19:00,0,89339
12/12/2022 18:00,0,89340
12/12/2022 17:00,0,89339
12/12/2022 16:00,0,89338
12/12/2022 15:00,0,89337
12/12/2022 14:00,0,89338
12/12/2022 13:00,0,89338
12/12/2022 12:00,0,89339
12/12/2022 11:00,0,89340
12/12/2022 10:00,0,89341
12/12/2022 09:00,0,89340
12/12/2022 08:00,0,89340
12/12/2022 07:00,0,89338
12/12/2022 06:00,0,89335
12/12/2022 05:00,0,89340
12/12/2022 04:00,,89318
12/12/2022 03:00,0,89322
12/12/2022 02:00,0,89325
12/12/2022 01:00,0,89328
12/12/2022 00:00,0,89329
11/12/2022 23:00,,89330
11/12/2022 22:00,0,89331
11/12/2022 21:00,0,89333
11/12/2022 20:00,0,89333
11/12/2022 19:00,0,89334
11/12/2022 18:00,0,89335
11/12/2022 17:00,0,89336
11/12/2022 16:00,0,89337
11/12/2022 15:00,0,89338
