Data,Chuva-Wenceslau,Nível-Wenceslau
17/12/2022 23:00,0,52
17/12/2022 22:00,0,52
17/12/2022 21:00,0,52
17/12/2022 20:00,0,52
17/12/2022 19:00,2,53
17/12/2022 18:00,0,53
17/12/2022 17:00,0,53
17/12/2022 16:00,0,54
17/12/2022 15:00,0,54
17/12/2022 14:00,0,54
17/12/2022 13:00,0,56
17/12/2022 12:00,0,56
17/12/2022 11:00,0,57
17/12/2022 10:00,0,58
17/12/2022 09:00,0,59
17/12/2022 08:00,0,61
17/12/2022 07:00,0,61
17/12/2022 06:00,0,61
17/12/2022 05:00,0,61
17/12/2022 04:00,0,61
17/12/2022 03:00,0,61
17/12/2022 02:00,1,61
17/12/2022 01:00,2,62
17/12/2022 00:00,1,68
16/12/2022 23:00,5,54
16/12/2022 22:00,0,51
16/12/2022 21:00,0,51
16/12/2022 20:00,0,51
16/12/2022 19:00,1,52
16/12/2022 18:00,0,51
16/12/2022 17:00,0,51
16/12/2022 16:00,0,52
16/12/2022 15:00,0,52
16/12/2022 14:00,0,52
16/12/2022 13:00,0,54
16/12/2022 12:00,0,54
16/12/2022 11:00,0,54
16/12/2022 10:00,0,61
16/12/2022 09:00,0,54
16/12/2022 08:00,0,52
16/12/2022 07:00,1,51
16/12/2022 06:00,0,51
16/12/2022 05:00,0,50
16/12/2022 04:00,0,50
16/12/2022 03:00,0,24
16/12/2022 02:00,0,50
16/12/2022 01:00,0,50
16/12/2022 00:00,0,50
15/12/2022 23:00,1,51
15/12/2022 22:00,0,50
15/12/2022 21:00,0,49
15/12/2022 20:00,0,50
15/12/2022 19:00,0,50
15/12/2022 18:00,0,50
15/12/2022 17:00,0,51
15/12/2022 16:00,0,51
15/12/2022 15:00,0,51
15/12/2022 14:00,0,51
15/12/2022 13:00,0,51
15/12/2022 12:00,0,51
15/12/2022 11:00,0,52
15/12/2022 10:00,0,61
15/12/2022 09:00,0,51
15/12/2022 08:00,0,51
15/12/2022 07:00,0,52
15/12/2022 06:00,0,52
15/12/2022 05:00,0,52
15/12/2022 04:00,0,52
15/12/2022 03:00,0,29
15/12/2022 02:00,0,53
15/12/2022 01:00,0,53
15/12/2022 00:00,0,53
14/12/2022 23:00,0,54
14/12/2022 22:00,0,54
14/12/2022 21:00,0,55
14/12/2022 20:00,0,54
14/12/2022 19:00,0,55
14/12/2022 18:00,0,56
14/12/2022 17:00,0,56
14/12/2022 16:00,0,57
14/12/2022 15:00,0,57
14/12/2022 14:00,0,58
14/12/2022 13:00,0,59
14/12/2022 12:00,0,61
14/12/2022 11:00,0,61
14/12/2022 10:00,0,67
14/12/2022 09:00,0,62
14/12/2022 08:00,0,63
14/12/2022 07:00,0,46
14/12/2022 06:00,0,65
14/12/2022 05:00,0,64
14/12/2022 04:00,0,61
14/12/2022 03:00,0,64
14/12/2022 02:00,0,65
14/12/2022 01:00,0,67
14/12/2022 00:00,0,68
13/12/2022 23:00,0,69
13/12/2022 22:00,0,71
13/12/2022 21:00,0,72
13/12/2022 20:00,0,71
13/12/2022 19:00,0,71
13/12/2022 18:00,0,71
13/12/2022 17:00,0,70
13/12/2022 16:00,1,72
13/12/2022 15:00,4,73
13/12/2022 14:00,13,62
13/12/2022 13:00,0,53
13/12/2022 12:00,0,52
13/12/2022 11:00,0,51
13/12/2022 10:00,0,52
13/12/2022 09:00,0,52
13/12/2022 08:00,0,53
13/12/2022 07:00,0,52
13/12/2022 06:00,0,54
13/12/2022 05:00,0,54
13/12/2022 04:00,0,53
13/12/2022 03:00,0,54
13/12/2022 02:00,0,54
13/12/2022 01:00,0,54
13/12/2022 00:00,0,54
12/12/2022 23:00,0,55
12/12/2022 22:00,0,55
12/12/2022 21:00,0,56
12/12/2022 20:00,0,55
12/12/2022 19:00,0,57
12/12/2022 18:00,0,57
12/12/2022 17:00,0,58
12/12/2022 16:00,0,59
12/12/2022 15:00,0,59
12/12/2022 14:00,0,62
12/12/2022 13:00,0,63
12/12/2022 12:00,0,64
12/12/2022 11:00,0,65
12/12/2022 10:00,0,69
12/12/2022 09:00,0,71
12/12/2022 08:00,0,74
12/12/2022 07:00,0,79
12/12/2022 06:00,2,80
12/12/2022 05:00,19,74
12/12/2022 04:00,0,64
12/12/2022 03:00,0,57
12/12/2022 02:00,0,57
12/12/2022 01:00,0,57
12/12/2022 00:00,0,56
11/12/2022 23:00,0,53
