Data,Chuva-Itajuba ,Nível-Itajuba
21/02/2020 23:45,0,116
21/02/2020 23:30,0,116
21/02/2020 23:15,0,116
21/02/2020 23:00,0,116
21/02/2020 22:45,0,116
21/02/2020 22:30,0,115
21/02/2020 22:15,0,115
21/02/2020 22:00,0.2,115
21/02/2020 21:45,0,114
21/02/2020 21:30,0.2,113
21/02/2020 21:15,0.8,113
21/02/2020 21:00,4.8,113
21/02/2020 20:45,3.2,109
21/02/2020 20:30,0,109
21/02/2020 20:15,0,108
21/02/2020 20:00,0,107
21/02/2020 19:45,0,106
21/02/2020 19:30,0,106
21/02/2020 19:15,0,105
21/02/2020 19:00,0,105
21/02/2020 18:45,0,104
21/02/2020 18:30,0,104
21/02/2020 18:15,0,104
21/02/2020 18:00,0,104
21/02/2020 17:45,0,103
21/02/2020 17:30,0,103
21/02/2020 17:15,0,103
21/02/2020 17:00,0,103
21/02/2020 16:45,0,103
21/02/2020 16:30,0,103
21/02/2020 16:15,0.2,103
21/02/2020 16:00,0.2,103
21/02/2020 15:45,0.6,103
21/02/2020 15:30,0.4,103
21/02/2020 15:15,0.2,102
21/02/2020 15:00,0,101
21/02/2020 14:45,0,100
21/02/2020 14:30,0,100
21/02/2020 14:15,0,100
21/02/2020 14:00,0.2,100
21/02/2020 13:45,1.2,100
21/02/2020 13:30,5,100
21/02/2020 13:15,0,99
21/02/2020 13:00,0,99
21/02/2020 12:45,0,100
21/02/2020 12:30,0,100
21/02/2020 12:15,0,100
21/02/2020 12:00,0,100
21/02/2020 11:45,0,100
21/02/2020 11:30,0,100
21/02/2020 11:15,0,100
21/02/2020 11:00,0,100
21/02/2020 10:45,0,100
21/02/2020 10:30,0,100
21/02/2020 10:15,0,100
21/02/2020 10:00,0,100
21/02/2020 09:45,0,100
21/02/2020 09:30,0,99
21/02/2020 09:15,0,99
21/02/2020 09:00,0,99
21/02/2020 08:45,0,98
21/02/2020 08:30,0,98
21/02/2020 08:15,0,98
21/02/2020 08:00,0,98
21/02/2020 07:45,0,97
21/02/2020 07:30,0,97
21/02/2020 07:15,0,97
21/02/2020 07:00,0,97
21/02/2020 06:45,0,97
21/02/2020 06:30,0,97
21/02/2020 06:15,0,97
